templateId,example,week,weekType,day,order,requestedSlot,requiredAnchor,role,exerciseName,stableKey,rehabLike,badmintonTransfer,stressMagnitude,capabilitySource,capabilityConfidence
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","5","4","TRUNK_ANTI_ROTATION_STABILITY","false","CORE","랜드마인 안티로테이션","landmine_anti_rotation","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","7","1","HIP_HINGE_POSTERIOR_CHAIN","true","ANCHOR","원암 덤벨 RDL","ex_e0b1e364","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","7","2","POWER_REACTIVE_LOW_VOLUME","false","TRANSFER","스킵 바운드","ex_c4ea0a2a","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","MODERATE"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","7","3","SCAPULAR_SHOULDER_SUPPORT","false","SUPPORT","페이스풀","face_pull","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","1","ADAPT","7","4","RECOVERY_PREHAB_LIGHT","false","PREHAB","스트레칭","ex_dd16e07a","false","NONE","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","1","1","LOWER_SQUAT_PATTERN","true","ANCHOR","원레그 핵 스쿼트","ex_f1d31d3d","false","GENERAL","HIGH","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","1","2","SINGLE_LEG_STRENGTH_CONTROL","false","SUPPORT","터키시 겟업","ex_91f6958d","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","MODERATE"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","1","3","TRUNK_ANTI_ROTATION_STABILITY","false","CORE","팔로프 프레스","ex_99728d25","false","SUPPORTIVE","LOW","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","1","4","CALF_ANKLE_CAPACITY","false","SUPPORT","린단 참고 트랙 스프린트","ex_4773b6ea","false","GENERAL","HIGH","RUNTIME_METADATA","MODERATE"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","3","1","UPPER_PULL_ANCHOR","true","ANCHOR","스캡 풀업","ex_e1894690","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
"FOOTWORK_COD_4D_4W_80_20","4 days / 4 weeks / 80:20 / Footwork-COD","2","BUILD","3","2","ATHLETIC_OVERHEAD_PRESS_SUPPORT","false","SUPPORT","하프 닐링 케틀벨 원암 프레스","ex_d79824d2","false","SUPPORTIVE","MODERATE","RUNTIME_METADATA","HIGH"
