image_key,exercise_name_ko,english_name,source_zip_path,intended_asset_path,restored_asset_path,bytes,width,height,match_method
incline_dumbbell_fly,인클라인 덤벨 플라이,인클라인덤벨플라이,assets/exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/30_∞¥╕φü┤δ¥╝∞¥╕_δìñδ▓¿_φöîδ¥╝∞¥┤_incline_dumbbell_fly.png,exercise_images/local_downloads/previous_style/exercise_set_01_30_latest30_v2/30_인클라인_덤벨_플라이_incline_dumbbell_fly.png,exercise_images/local_downloads/incline_dumbbell_fly.png,113989,330,330,slug
cable_fly,케이블 플라이,케이블플라이,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/31_cable_fly.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/31_cable_fly.png,exercise_images/local_downloads/cable_fly.png,113510,330,330,exact
dumbbell_pullover,덤벨 풀오버,덤벨풀오버,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/32_dumbbell_pullover.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/32_dumbbell_pullover.png,exercise_images/local_downloads/dumbbell_pullover.png,123631,330,330,exact
push_up,푸시업,푸시업,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/33_push_up.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/33_push_up.png,exercise_images/local_downloads/push_up.png,109071,330,330,exact
decline_push_up,디클라인 푸시업,디클라인푸시업,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/34_decline_push_up.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/34_decline_push_up.png,exercise_images/local_downloads/decline_push_up.png,143162,330,330,exact
dips,딥스,딥스,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/35_dips.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/35_dips.png,exercise_images/local_downloads/dips.png,142774,330,330,exact
bench_dips,벤치 딥스,벤치딥스,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/36_bench_dips.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/36_bench_dips.png,exercise_images/local_downloads/bench_dips.png,113823,330,330,exact
overhead_press,오버헤드 프레스,오버헤드프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/37_overhead_press.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/37_overhead_press.png,exercise_images/local_downloads/overhead_press.png,133782,330,330,exact
machine_shoulder_press,머신 숄더프레스,머신숄더프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/38_machine_shoulder_press.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/38_machine_shoulder_press.png,exercise_images/local_downloads/machine_shoulder_press.png,140145,330,330,exact
dumbbell_shoulder_press,덤벨 숄더프레스,덤벨숄더프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/39_dumbbell_shoulder_press.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/39_dumbbell_shoulder_press.png,exercise_images/local_downloads/dumbbell_shoulder_press.png,146213,330,330,exact
seated_dumbbell_shoulder_press_no_back,등받이 없는 덤벨 시티드 숄더프레스,등받이없는덤벨시티드숄더프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/40_seated_dumbbell_shoulder_press_no_back.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/40_seated_dumbbell_shoulder_press_no_back.png,exercise_images/local_downloads/seated_dumbbell_shoulder_press_no_back.png,129446,330,330,exact
one_arm_dumbbell_shoulder_press,원암 덤벨 숄더프레스,원암덤벨숄더프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/41_one_arm_dumbbell_shoulder_press.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/41_one_arm_dumbbell_shoulder_press.png,exercise_images/local_downloads/one_arm_dumbbell_shoulder_press.png,138339,330,330,exact
arnold_press,아놀드 프레스,아놀드프레스,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/42_arnold_press.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/42_arnold_press.png,exercise_images/local_downloads/arnold_press.png,140363,330,330,exact
dumbbell_lateral_raise,덤벨 래터럴 레이즈,덤벨래터럴레이즈,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/43_dumbbell_lateral_raise.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/43_dumbbell_lateral_raise.png,exercise_images/local_downloads/dumbbell_lateral_raise.png,134524,330,330,exact
rear_delt_fly,리어델트 플라이,리어델트플라이,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/44_rear_delt_fly.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/44_rear_delt_fly.png,exercise_images/local_downloads/rear_delt_fly.png,129167,330,330,exact
band_rear_delt_fly,밴드 리어델트 플라이,밴드리어델트플라이,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/45_band_rear_delt_fly.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/45_band_rear_delt_fly.png,exercise_images/local_downloads/band_rear_delt_fly.png,132625,330,330,exact
barbell_row,바벨 로우,바벨로우,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/46_barbell_row.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/46_barbell_row.png,exercise_images/local_downloads/barbell_row.png,120857,330,330,exact
yates_row,Yates Row,yates row,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/47_yates_row.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/47_yates_row.png,exercise_images/local_downloads/yates_row.png,126504,330,330,exact
cable_row,케이블 로우,케이블로우,assets/exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/48_cable_row.png,exercise_images/local_downloads/previous_style/exercise_set_31_63_downloadable_v2/48_cable_row.png,exercise_images/local_downloads/cable_row.png,110871,330,330,exact
