exercise_name,stable_key,image_asset_name,mapping_confidence,needs_review,reason
스플릿 스텝 후 좌우 런지,,exercise_images/local_downloads/split_step_lateral_lunge.png,HIGH,0,korean_name=localizedName.ko
6코너 섀도우 풋워크,,,NONE,1,no_safe_match
6코너 풋워크 최대반복 테스트,,,NONE,1,no_safe_match
30초 반복 스매시 테스트,,exercise_images/local_downloads/repeated_smash_test.png,HIGH,0,korean_name=localizedName.ko
6방향 랜덤 콕줍기,,exercise_images/local_downloads/six_direction_random_shuttle_pickup.png,HIGH,0,korean_name=localizedName.ko
앞뒤 랜덤 콕줍기,,exercise_images/local_downloads/front_back_random_shuttle_pickup.png,HIGH,0,korean_name=localizedName.ko
좌우 랜덤 콕줍기,,exercise_images/local_downloads/left_right_random_shuttle_pickup.png,HIGH,0,korean_name=localizedName.ko
멀티셔틀 풋워크,,exercise_images/local_downloads/multishuttle_footwork.png,HIGH,0,korean_name=localizedName.ko
랜덤 비프 풋워크,,exercise_images/local_downloads/corner_random_beep_footwork.png,HIGH,0,korean_name=localizedName.ko
랜덤 풋워크,,,NONE,1,no_safe_match
가벼운 콕줍기,,exercise_images/local_downloads/light_shuttle_pickup.png,HIGH,0,korean_name=localizedName.ko
파머스 캐리,,exercise_images/local_downloads/farmers_carry.png,HIGH,0,korean_name=localizedName.ko
터키시 겟업,,exercise_images/local_downloads/turkish_get_up.png,HIGH,0,korean_name=localizedName.ko
고블릿 스쿼트,,exercise_images/local_downloads/goblet_squat.png,HIGH,0,korean_name=localizedName.ko
팔로프 프레스,,exercise_images/local_downloads/pallof_press.png,HIGH,0,korean_name=localizedName.ko
월 슬라이드,,exercise_images/local_downloads/wall_slide.png,HIGH,0,korean_name=localizedName.ko
스캡 푸시업,,exercise_images/local_downloads/scap_push_up.png,HIGH,0,korean_name=localizedName.ko
박스 스텝업,,exercise_images/local_downloads/box_step_up.png,HIGH,0,korean_name=localizedName.ko
미니밴드 사이드워크,,exercise_images/local_downloads/miniband_sidewalk.png,HIGH,0,korean_name=localizedName.ko
싱글 레그 RDL,single_leg_rdl,exercise_images/local_downloads/single_leg_rdl.png,HIGH,0,stableKey=image_slug
싱글 레그 박스 스쿼트,,exercise_images/local_downloads/single_leg_box_squat.png,HIGH,0,korean_name=localizedName.ko
피스톨 스쿼트,,exercise_images/local_downloads/pistol_squat.png,HIGH,0,korean_name=localizedName.ko
스케이터 스쿼트,,exercise_images/local_downloads/skater_squat.png,HIGH,0,korean_name=localizedName.ko
래터럴 스텝다운,,exercise_images/local_downloads/lateral_stepdown.png,HIGH,0,korean_name=localizedName.ko
싱글 레그 홉 앤 스틱,single_leg_hop_and_stick,exercise_images/local_downloads/single_leg_hop_and_stick.png,HIGH,0,stableKey=image_slug
코사크 스쿼트,,exercise_images/local_downloads/cossack_squat.png,HIGH,0,korean_name=localizedName.ko
플랭크,,exercise_images/local_downloads/plank.png,HIGH,0,korean_name=localizedName.ko
사이드 플랭크,,exercise_images/local_downloads/side_plank.png,HIGH,0,korean_name=localizedName.ko
데드버그,,exercise_images/local_downloads/dead_bug.png,HIGH,0,korean_name=localizedName.ko
버피,,exercise_images/local_downloads/burpee.png,HIGH,0,korean_name=localizedName.ko
스트레칭,,exercise_images/local_downloads/stretching.png,HIGH,0,korean_name=localizedName.ko
셔틀런,,exercise_images/local_downloads/shuttle_run.png,HIGH,0,korean_name=localizedName.ko
애질리티 래더,,exercise_images/local_downloads/agility_ladder_drill.png,HIGH,0,korean_name=localizedName.ko
콘 드릴,,exercise_images/local_downloads/cone_drill.png,HIGH,0,korean_name=localizedName.ko
앙클링,,exercise_images/local_downloads/ankling.png,HIGH,0,korean_name=localizedName.ko
A스킵,,exercise_images/local_downloads/a_skip.png,HIGH,0,korean_name=localizedName.ko
B스킵,,exercise_images/local_downloads/b_skip.png,HIGH,0,korean_name=localizedName.ko
하이니 스킵,,exercise_images/local_downloads/high_knee_skip.png,HIGH,0,korean_name=localizedName.ko
스킵 바운드,,exercise_images/local_downloads/skip_bound.png,HIGH,0,korean_name=localizedName.ko
포고 점프,,exercise_images/local_downloads/pogo_jump.png,HIGH,0,korean_name=localizedName.ko
라인 홉,,exercise_images/local_downloads/line_hop.png,HIGH,0,korean_name=localizedName.ko
월 드라이브,,exercise_images/local_downloads/wall_drive.png,HIGH,0,korean_name=localizedName.ko
스트라이드,,exercise_images/local_downloads/stride.png,HIGH,0,korean_name=localizedName.ko
러닝,,exercise_images/local_downloads/running.png,HIGH,0,korean_name=localizedName.ko
인터벌 러닝,,exercise_images/local_downloads/interval_running.png,HIGH,0,korean_name=localizedName.ko
실내 자전거,,exercise_images/local_downloads/indoor_cycling.png,HIGH,0,korean_name=localizedName.ko
로잉머신,,exercise_images/local_downloads/rowing_machine.png,HIGH,0,korean_name=localizedName.ko
수영,,exercise_images/local_downloads/swimming.png,HIGH,0,korean_name=localizedName.ko
줄넘기,,exercise_images/local_downloads/jump_rope.png,HIGH,0,korean_name=localizedName.ko
계단 오르기,,exercise_images/local_downloads/stair_climbing.png,HIGH,0,korean_name=localizedName.ko
축구,,exercise_images/local_downloads/soccer.png,HIGH,0,korean_name=localizedName.ko
농구,,exercise_images/local_downloads/basketball.png,HIGH,0,korean_name=localizedName.ko
테니스,,exercise_images/local_downloads/tennis.png,HIGH,0,korean_name=localizedName.ko
배드민턴,,exercise_images/local_downloads/badminton.png,HIGH,0,korean_name=localizedName.ko
러닝 풋살,,exercise_images/local_downloads/running_futsal.png,HIGH,0,korean_name=localizedName.ko
래터럴 바운드 투 스틱,lateral_bound_to_stick,,NONE,1,no_safe_match
홉 투 스틱,hop_to_stick,,NONE,1,no_safe_match
싱글 레그 홉 투 스틱,single_leg_hop_to_stick,,NONE,1,no_safe_match
6코너 풋워크,six_corner_footwork,,NONE,1,no_safe_match
