exerciseStableKey,exerciseName,sourceStableKey,relationCount,ofiAxisCount,ofiScoreCount,doseCount,snapshotCount,cautionCount,badmintonFatigueCostCount,sourceProfileSha256,reconciliationAction,status
ex_e3715c0b,워킹 런지,ex_e3715c0b,16,5,5,1,1,0,1,e0c68ffbe646da239ed4e106ecc90d0ba5f6743fdb2c0a21b68e5068d122fab0,PRESERVE_UNCHANGED,PASS
ex_e41e8dcf,중량 친업,ex_e41e8dcf,16,5,5,1,1,0,1,d2d5849c5d53f0f61730edbe4f8a5f35991619722f048920ff61f43d3f6580d8,PRESERVE_UNCHANGED,PASS
ex_e41f4c2b,중량 풀업,ex_e41f4c2b,16,5,5,1,1,0,1,4b32c6bdb56c1a1b7c82bd88947b2203442213d9d59107c070be7f0ddaee85ab,PRESERVE_UNCHANGED,PASS
ex_e465d1e9,포고 점프,ex_e465d1e9,16,5,5,1,1,0,1,e8e9415748b8e363aa3256f0badda93dcd42fd29501fe39251cd6938d5b16ef1,PRESERVE_UNCHANGED,PASS
ex_e4f911bb,네거티브 풀업,ex_e4f911bb,16,5,5,1,1,0,1,a6ce10376c133c9d063769ffb20141a9d125c9835181cf53a4401eebc01c4728,PRESERVE_UNCHANGED,PASS
ex_e709eeda,케이블 컬,ex_e709eeda,16,5,5,1,1,0,1,1c1d100ad22d81b0e29c2bef2db7632f7a991c244a1c87c002bf66ac87776c7f,PRESERVE_UNCHANGED,PASS
ex_e8ff8cfa,밴드 외회전,ex_e8ff8cfa,16,5,5,1,1,0,1,4f0c3d1a2d9149b5de07354226b3181365195ce36d31d13929f3b11fe3ee6634,PRESERVE_UNCHANGED,PASS
ex_e9e97659,핵 스쿼트,ex_e9e97659,16,5,5,1,1,0,1,e8248abf4b9b50401ce231939afa5e175640a68cd8cc80051233d630fe7adb1a,PRESERVE_UNCHANGED,PASS
ex_eb636bac,원암 케이블 오버헤드 트라이셉스 익스텐션,ex_eb636bac,16,5,5,1,1,0,1,bf5fe6b5c649b5fb6749367a4f7ea4af0b8096084aadefb55c2e9a896f769c6d,PRESERVE_UNCHANGED,PASS
ex_ee378da7,스케이터 스쿼트,ex_ee378da7,16,5,5,1,1,0,1,93d9ebee8e71caf9b485217d999cf7c08977b37b48533a4fb84b80d1404e8139,PRESERVE_UNCHANGED,PASS
ex_f1d31d3d,원레그 핵 스쿼트,ex_f1d31d3d,16,5,5,1,1,0,1,78d04d16611841d59a41952810bdb2bc0786922fefdeec2f49acf49b3452e8db,PRESERVE_UNCHANGED,PASS
ex_f2a79d37,스플릿 스쿼트,ex_f2a79d37,16,5,5,1,1,0,1,4340cb1419e14142393c36c0e7f3f0377db654385d79d73f5a4c2bd3dfb25f5f,PRESERVE_UNCHANGED,PASS
